BAPID,Name,Standard,Std,F_type,Species ,Star_Stat,Country,Company ,Parent_Company ,latitude,longitude,Expiration,Language_Pref,M_tons_2015,Hatch_Output,Mill_Output,2015_CB,2015_Aud,2015_Min_N,2015_Maj_N,2015_Crt_N,M_tons_2016,2016_Aud,2016_Min_N,2016_Maj_N,2016_Crt_N
F10627,GeneSeas Aquacultura Ltda.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Brazil,GeneSeas Aquacultura Ltda.,GeneSeas Aquacultura Ltda.,-20.272375,-50.98000556,9/12/17,TBD,"4,200",,,Acoura Marine,Silvio Romero C. Coelho,4,0,0,,,,,
F10628A,Ananya Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Choice Trading Co.,Choice Trading Co.,15.830146,80.920934,5/18/17,TBD,90,,,SGS India Pvt. Ltd.,A. B. Ch. Mohan,14,4,0,,,,,
F10628B,M. Harshavardhan Raju Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Choice Trading Co.,Choice Trading Co.,15.669483,80.231098,5/18/17,TBD,,,,SGS India Pvt. Ltd.,A. B. Ch. Mohan,15,4,0,,,,,
F10628C,K. Satyanarayana Raju Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Choice Trading Co.,Choice Trading Co.,15.884608,80.594051,5/18/17,TBD,103,,,SGS India Pvt. Ltd.,A. B. Ch. Mohan,14,4,0,,,,,
F10628D,Suyavamsi Aqua Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Choice Trading Co.,Choice Trading Co.,15.88423333,80.51120556,5/18/17,TBD,159.9,,,SGS India Pvt. Ltd.,A. B. Ch. Mohan,15,4,0,,,,,
F10629A,"Sea Wealth Frozen Food Co., Ltd. IOM 1 - Anantasit Farm",Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Sea Wealth Frozen Food Co. Ltd.,Sea Wealth Frozen Food Co. Ltd.,6.638888889,100.015,4/18/17,TBD,8.5,,,NSF International,Bunpop Jantaro,24,3,0,,,,,
F10629B,Anach Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Sea Wealth Frozen Food Co Ltd.,Sea Wealth Frozen Food Co Ltd.,6.623650358,100.0251559,11/30/17,TBD,50,,,NSF International,Panida Pongviratchai,8,1,0,,,,,
F10629C,Sea Wealth Frozen Food Co. IOM 1 - Chaiwat Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Sea Wealth Frozen Food Co. Ltd.,Sea Wealth Frozen Food Co. Ltd.,7.254444444,99.52388889,4/18/17,TBD,17.5,,,NSF International,Bunpop Jantaro,7,1,0,,,,,
F10630A,"Tam-An Catfish, Inc.",Finfish and Crustacean Farm Standard,4,Farm,Catfish,,United States,Freshwater Farms LLC.,Freshwater Farms LLC.,33.17884167,-90.70766389,3/21/18,TBD,2398,,,NSF International,Angela Caporelli,7,0,0,,,,,
F10630B,Potter and Lloyd,Finfish and Crustacean Farm Standard,4,Farm,Catfish,,United States,Freshwater Farms LLC.,Freshwater Farms LLC.,33.30923333,-90.35533333,3/21/18,TBD,1591,,,NSF International,Angela Caporelli,6,0,0,,,,,
F10631A,Yatac Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Invermar S.A.,Invermar S.A.,-43.29014535,-73.65804977,3/8/17,TBD,5446,,,NSF International,Edward Shallenberger,2,0,0,,,,,
F10631B,Chalihue Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Invermar S.A.,Invermar S.A.,-42.59673333,-73.72927222,3/8/17,TBD,3159,,,NSF International,Edward Shallenberger,5,0,0,,,,,
F10631C,Puqueldon Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Invermar S.A.,Invermar S.A.,-42.59320833,-73.68993056,3/8/17,TBD,1700.5,,,NSF International,Edward Shallenberger,4,0,0,,,,,
F10631D,Yelqui Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Invermar S.A.,Invermar S.A.,-42.60298333,-73.73273056,3/8/17,TBD,3669,,,NSF International,Edward Shallenberger,5,0,0,,,,,
F10631E,Invermar - S.A Farms - Mechuque,Salmon Farm Standard,1,Farm,Salmon,,Chile,Invermar - S.A Farms - Mechuque,Invermar - S.A Farms - Mechuque,-42.33249167,-73.39192222,11/17/18,TBD,,,,,,,,,,,,,
F10631F,Invermar S.A. Farms - Rilan (10A),Salmon Farm Standard,1,Farm,Salmon,,Chile,Invermar S.A. Farms - Rilan (10A),Invermar S.A. Farms - Rilan (10A),-42.54068611,-73.62260833,4/28/19,,,,,,,,,,,,,,
F10631G,Invermar S.A. Farms -Tutil (10A),Salmon Farm Standard,1,Farm,Salmon,,Chile,Invermar S.A. Farms -Tutil (10A),Invermar S.A. Farms -Tutil (10A),-42.56611667,-73.72788611,4/28/19,,,,,,,,,,,,,,
F10632A,Velangi,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Apex Frozen Foods,Apex Frozen Foods,17.45941944,82.17067778,5/6/17,TBD,53.044,,,SGS India Pvt. Ltd.,Vedamurthy A P,3,0,0,,,,,
F10632B,Gokavaram,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Apex Frozen Foods,Apex Frozen Foods,16.43333333,81.37166667,5/6/17,TBD,,,,SGS India Pvt. Ltd.,Vedamurthy A P,4,0,0,,,,,
F10632C,Marripalem,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Apex Frozen Foods,Apex Frozen Foods,17.45222778,82.85632778,5/6/17,TBD,235.5,,,SGS India Pvt. Ltd.,Vedamurthy A P,4,0,0,,,,,
F10632D,Narasapurapeta,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Apex Frozen Foods,Apex Frozen Foods,17.45805556,82.12166667,5/6/17,TBD,,,,SGS India Pvt. Ltd.,Vedamurthy A P,4,1,0,,,,,
F10632E,Tallapalem,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Apex Frozen Foods,Apex Frozen Foods,16.46416667,81.41527778,5/6/17,TBD,101.96,,,SGS India Pvt. Ltd.,Vedamurthy A P,4,0,0,,,,,
F10633,Elysian Farms ,Finfish and Crustacean Farm Standard,4,Farm,Catfish/ Pangasius,,United States,Southfresh Aquaculture,Southfresh Aquaculture,32.534,-87.7585,1/31/18,TBD,680,,,NSF International,Angela Caporelli,14,6,0,,,,,
F10638,Industrial Pesquera Santa Priscilla S.A. (IPSP Taura 1 & Taurafish - Taura 2) (Tropical),Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Ecuador,Industrial Pesquera Santa Priscilla S.A.,Industrial Pesquera Santa Priscilla S.A.,-2.383752778,-79.78166944,9/26/17,TBD,"8,776",,,Acoura Marine ,Silvio Romero C. Coelho,3,1,0,,,,,
F10639,Malpaso Farm,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Mexico,Acuagranjas Dos Lagos,Acuagranjas Dos Lagos,17.1438435,-93.52098899,7/15/17,TBD,"6,237.83",,,NSF International,Ralph Parkman,4,1,0,,,,,
F10640,Penitas Farm,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Mexico,Acuagranjas Dos Lagos,Acuagranjas Dos Lagos,17.43790476,-93.43841944,7/15/17,TBD,"24,102",,,NSF International,Ralph Parkman,3,1,0,,,,,
F10643,PT. Windu Empang Mas,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Indonesia,PT. Windu Empang Mas,PT. Windu Empang Mas,-7.757675524,113.1978254,5/2/17,TBD,11.45,,,SGS India Pvt. Ltd.,Wawan Somala,17,4,0,,,,,
F10644,PT. Permata Citra Nusa 3 - Asembakor,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Indonesia,PT. Permata Citra Nusa 3 - Asembakor,PT. Permata Citra Nusa 3 - Asembakor,-7.725805556,113.4594167,4/11/17,TBD,2102.91,,,SGS India Pvt. Ltd.,Wawan Somala,4,1,0,,,,,
F10647A,Kollaparru Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Wellcome Fisheries Ltd.,Wellcome Fisheries Ltd.,17.07268611,81.61778611,4/19/17,TBD,165.5,,,SGS India Pvt. Ltd.,Vedamurthy A P,8,2,0,,,,,
F10647B,Chinna Kappavaram Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Wellcome Fisheries Ltd.,Wellcome Fisheries Ltd.,16.640425,81.39229722,4/19/17,TBD,170.2,,,SGS India Pvt. Ltd.,Vedamurthy A P,8,2,0,,,,,
F10647D, Krutuvenu Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Wellcome Fisheries Ltd.,Wellcome Fisheries Ltd.,16.60232778,81.60657778,4/19/17,TBD,240.5,,,SGS India Pvt. Ltd.,Vedamurthy A P,9,2,0,,,,,
F10648,Tan Khanh Trung Farm,Finfish and Crustacean Farm Standard,4,Farm,Pangasius,,Vietnam,Vinh Hoan Corporation,Vinh Hoan Corporation,10.3813,105.7188444,6/15/17,TBD,20000,,,Bureau Veritas Certification Vietnam,Ly Vi Cuong ,4,0,0,,,,,
F10652A,Lin Lin 1,Mollusk Farm Standard,5,Farm,Mussels,,Chile,Blue Shell S.A.,Blue Shell S.A.,-42.41211,-73.43108,4/8/17,TBD,83995.5,,,Global Trust,Conrad Powell,0,0,0,,,,,
F10652D,Ayacara 1,Mollusk Farm Standard,5,Farm,Mussels,,Chile,Blue Shell S.A.,Blue Shell S.A.,-42.37097,-72.77994,4/8/17,TBD,2722.04,,,Global Trust,Conrad Powell,0,0,0,,,,,
F10652G,Punta San Juan,Finfish and Crustacean Farm Standard,4,Farm,Mussels,,Chile,Cultivos Azules S.A.,Cultivos Azules S.A.,-42.34421481,-73.52072067,4/8/18,TBD,,,,,,,,,,,,,
F10654,Centro Quintana,Salmon Farm Standard,1,Farm,Salmon,,Chile,Australis Mar S.A.,Australis Seafood,-45.19395833,-73.50375833,5/5/17,TBD,,,,NSF International,Guillermo Schillings,2,0,0,,,,,
F10655D,Kong Tong Farm 1,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Chantaburi Frozen Food Co. Ltd.,Chantaburi Frozen Food Co. Ltd.,12.27715884,102.5179879,6/10/17,TBD,51.599,,,NSF International,Suzette Licop,7,3,0,,,,,
F10657A,Thai Royal Cluster 5 - Tako Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal Frozen Food Co. Ltd.,Thai Royal Frozen Food Co. Ltd.,10.05283355,99.12172122,6/9/17,TBD,200,,,Acoura Marine,Paul Macintyre,2,1,0,,,,,
F10657B,Thai Royal Cluster 5 - CNK Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal Frozen Food Co. Ltd.,Thai Royal Frozen Food Co. Ltd.,10.05417519,99.12173195,6/9/17,TBD,80,,,Acoura Marine,Don Griffiths,1,0,0,,,,,
F10657D,Thai Royal Cluster 5 - Patew 2 Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal Frozen Food Co. Ltd.,Thai Royal Frozen Food Co. Ltd.,10.69107655,99.32468376,6/9/17,TBD,100,,,Acoura Marine,Paul Macintyre,2,0,0,,,,,
F10657E,Thai Royal IOM 5 - Sawee Farm 1,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal IOM 5 - Sawee Farm 1,Thai Royal IOM 5 - Sawee Farm 1,10.2439,99.120676,6/14/17,TBD,,,,,,,,,,,,,
F10657F,Thai Royal IOM 5 - Channarong,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal IOM 5 - Channarong,Thai Royal IOM 5 - Channarong,10.326847,99.124542,6/14/17,TBD,,,,,,,,,,,,,
F10657G,Thai Royal IOM 5 - Wisai,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal IOM 5 - Wisai,Thai Royal IOM 5 - Wisai,10.327415,99.149561,6/14/17,TBD,,,,,,,,,,,,,
F10658A,Iskapalli Coast liner,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,BMR Industires,BMR Industires,14.74926114,80.10370038,6/12/17,TBD,195.662,,,SGS India Pvt. Ltd.,Vedamurthy A P,3,0,0,,,,,
F10658B,BOB Aquabase Ltd.,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,BMR Industires,BMR Industires,15.21757435,80.07823033,6/12/17,TBD,64.9,,,SGS India Pvt. Ltd.,Vedamurthy A P,3,0,0,,,,,
F10659C,Thai Royal IOM 6 - SeaQueen Farm 3,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal Frozen Co. Ltd.,Thai Royal Frozen Co. Ltd.,9.638109,98.541557,5/23/17,TBD,50,,,Acoura Marine,Don Griffiths,1,0,0,,,,,
F10659D,Thai Royal IOM 6 - SeaQueen Farm 5,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal Frozen Co. Ltd.,Thai Royal Frozen Co. Ltd.,9.796611111,98.57761111,5/23/17,TBD,90,,,Acoura Marine,Don Griffiths,1,0,0,,,,,
F10659E,Thai Royal IOM 6 - SeaQueen Farm 8,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal Frozen Co. Ltd.,Thai Royal Frozen Co. Ltd.,9.459924,98.501263,5/23/17,TBD,65,,,Acoura Marine,Don Griffiths,1,0,0,,,,,
F10659F,Thai Royal IOM 6 - Siriwan Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Royal Frozen Co. Ltd.,Thai Royal Frozen Co. Ltd.,9.360444444,98.41225,5/23/17,TBD,,,,Acoura Marine,Don Griffiths,1,0,0,,,,,
F10661,Krushna Aquafarms & Exports (Vasanti Marine),Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Choice Trading Co.,Choice Trading Co.,15.810219,80.43296,6/7/17,TBD,900,,,SGS India Pvt. Ltd.,A. B. Ch. Mohan,15,4,0,,,,,
F10665A,Apiao Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-42.59222222,-73.23472222,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,1,0,0,,,,,
F10665B,Polla Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-44.48944444,-74.09694444,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,2,0,0,,,,,
F10665C,Jorge Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-44.7806836,-74.02411766,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,1,0,0,,,,,
F10665D,Stokes Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-44.67041084,-74.44368896,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,2,0,0,,,,,
F10665E,Cuchi Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-45.37833333,-73.94472222,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,1,0,0,,,,,
F10665F,Angostura Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-45.60944444,-74.50611111,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,1,0,0,,,,,
F10665G,Marcacci Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-45.42805556,-74.15083333,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,1,0,0,,,,,
F10665H,Quernada Farm ,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A.,Multiexport Foods,-45.38162067,-73.86999663,5/14/17,TBD,,,,Acoura Marine,Robert Kelly,2,0,0,,,,,
F10665J,Salmones Multiexport S.A. Salmon Farms- Cluster - Huyar Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A. Salmon Farms- Cluster - Huyar Farm,Salmones Multiexport S.A. Salmon Farms- Cluster - Huyar Farm,-42.39133889,-73.55013056,8/2/19,,,,,,,,,,,,,,
F10665K,Salmones Multiexport S.A. Salmon Farms- Cluster - Llingua Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A. Salmon Farms- Cluster - Llingua Farm,Salmones Multiexport S.A. Salmon Farms- Cluster - Llingua Farm,-42.430375,-73.46628333,8/2/19,,,,,,,,,,,,,,
F10665L,Salmones Multiexport S.A. Salmon Farms- Cluster - Izaza Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A. Salmon Farms- Cluster - Izaza Farm,Salmones Multiexport S.A. Salmon Farms- Cluster - Izaza Farm,-44.54529444,-74.35752778,8/2/19,,,,,,,,,,,,,,
F10665M,Salmones Multiexport S.A. Salmon Farms- Cluster - King Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A. Salmon Farms- Cluster - King Farm,Salmones Multiexport S.A. Salmon Farms- Cluster - King Farm,-44.55700833,-74.196075,8/2/19,,,,,,,,,,,,,,
F10665N,Salmones Multiexport S.A. Salmon Farms- Pilolcura Farm,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A. Salmon Farms- Pilolcura Farm,Salmones Multiexport S.A. Salmon Farms- Pilolcura Farm,-41.84296944,-73.11265833,8/2/19,,,,,,,,,,,,,,
F10665O,Salmones Multiexport S.A. Salmon Farms- Isla Cabras,Salmon Farm Standard,1,Farm,Salmon,,Chile,Salmones Multiexport S.A. Salmon Farms- Isla Cabras,Salmones Multiexport S.A. Salmon Farms- Isla Cabras,-42.06333333,-72.54202778,8/2/19,,,,,,,,,,,,,,
F10666A,Geo Seafoods - National Fish - IOM 1 - Mr. Datla Pruthuvi Raju,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Geo Seafoods,Geo Seafoods,16.945518,82.1086618,6/30/17,TBD,210,,,NSF International,Mohan Varadhan,4,1,0,,,,,
F10666B,Geo Seafoods - National Fish - IOM 1 - Mr. Datla Ravi Buchi Varma,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Geo Seafoods,Geo Seafoods,16.94199086,82.10907068,6/30/17,TBD,160,,,NSF International,Mohan Varadhan,2,1,0,,,,,
F10666C,Geo Seafoods - National Fish - IOM 1 - Mr. Mantena Ravi Kumar,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Geo Seafoods,Geo Seafoods,16.94486454,82.11125937,6/30/17,TBD,160,,,NSF International,Mohan Varadhan,3,1,0,,,,,
F10668,Piscicola Fish Factory Ltd.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Piscicola Fish Factory Ltd.,Piscicola Fish Factory Ltd.,2.687865879,-75.43538875,6/13/17,TBD,225,,,Global Trust,Howard Rees,3,0,0,,,,,
F10669,Piscicola Fish Flow Ltda.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Piscicola Fish Factory Ltd.,Piscicola Fish Factory Ltd.,2.692413111,-75.43236762,8/29/17,TBD,441,,,NSF International,Silvio Romero Coelho,2,1,0,,,,,
F10670,Piscicola H&W Fishery Ltd. ,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Piscicola H&W Fishery Ltd. ,Piscicola H&W Fishery Ltd. ,2.691509665,-75.44045276,6/13/17,TBD,702,,,Global Trust,Howard Rees,1,0,0,,,,,
F10671,Piscicola La Espanola Ltda.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Piscicola La Espanola Ltda.,Piscicola La Espanola Ltda.,2.666230556,-75.43888333,7/1/17,TBD,180,,,Global Trust,Howard Rees,3,0,0,,,,,
F10672,Piscicola Rios SAS,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Piscicola Rios SAS,Piscicola Rios SAS,2.662083333,-75.42761111,8/4/17,TBD,394,,,NSF International,Silvio Romero Coelho,10,1,0,,,,,
F10673,Sea & Fish S.A.S,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Sea & Fish S.A.S,Sea & Fish S.A.S,2.696739554,-75.44088192,7/29/17,TBD,,,,,,,,,,,,,
F10674,Surcosagro Ltda.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Surcosagro Ltda.,Surcosagro Ltda.,2.636258,-75.46145039,7/29/17,TBD,417,,,NSF International,Angela Caporelli,2,0,0,,,,,
F10675,Tilapias Del Huila S.A.S.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Tilapias Del Huila S.A.S.,Tilapias Del Huila S.A.S.,2.653236111,-75.45171389,6/13/17,TBD,437,,,Global Trust,Howard Rees,1,0,0,,,,,
F10676,Marpez Ltda.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,Piscicola Marpez Ltda.,Piscicola Marpez Ltda.,2.686969444,-75.433475,1/25/18,TBD,183,,,NSF International,Silvio Romero Coelho,2,3,1,,,,,
F10677,Charoen Pokphand Foods PCL. - Sawee 1 Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Charoen Pokphand Foods PCL. - Sawee 1 Farm,Charoen Pokphand Foods PCL. - Sawee 1 Farm,10.26037249,99.16116042,6/9/17,TBD,523,,,Acoura Marine,Don Griffiths,0,0,0,,,,,
F10678,Charoen Pokphand Foods PCL. - Nakhon Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Charoen Pokphand Foods PCL. - Nakhon Farm,Charoen Pokphand Foods PCL. - Nakhon Farm,7.960099,100.329404,7/20/17,TBD,657,,,SGS India Pvt. Ltd.,Sriwilai Ausanakul,6,2,0,,,,,
F10679,Charoen Pokphand Foods PCL. - Tanachote Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Charoen Pokphand Foods Pcl.,Charoen Pokphand Foods Pcl.,7.858761,100.349247,7/24/17,TBD,445,,,SGS India Pvt. Ltd.,Sriwilai Ausanakul,6,4,0,,,,,
F10680,"Charoen Pokphand Foods Public Co.,Ltd (SR1 Farm)",Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Charoen Pokphand Foods Pcl.,Charoen Pokphand Foods Pcl.,9.242405278,99.57711722,8/8/17,TBD,891.322,,,NSF International,June Pongviratchai,3,0,0,,,,,
F10681,Thai Union Group PCL- Suksan Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Union Group PCL- Suksan Farm,Thai Union Group PCL- Suksan Farm,12.47472222,102.1402778,7/13/18,,,,,,,,,,,,,,
F10685,Thai Union Group PCL _Laem O Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Union Frozen Products Co. Ltd.,Thai Union Frozen Products Co. Ltd.,12.25600653,102.2829311,7/13/17,TBD,373,,,NSF International,Bunpop Jantaro,3,0,0,,,,,
F10690,Cantho Import Export Fishery Co. Ltd.,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Vietnam,Cantho Import Export Fishery Co. Ltd.,Cantho Import Export Fishery Co. Ltd.,9.241747222,105.796025,7/18/17,TBD,160,,,Bureau Veritas Certification Vietnam,Ly Vi Cuong,7,2,0,,,,,
F10691,Munnangi Seafoods Pvt. Ltd.,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Munnangi Seafoods Pvt. Ltd.,Munnangi Seafoods Pvt. Ltd.,15.8493,80.89416667,7/29/17,TBD,340,,,NSF International,Srinivasarao Vajiiparti,3,0,0,,,,,
F10692,Green Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Vietnam,Stapimex,Stapimex,9.426116667,106.1285278,6/23/17,TBD,91,,,Bureau Veritas Certification Vietnam,Nguyen Hong Linh,7,1,0,,,,,
F10693,Juree Farm 16,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Okeanos Food Co. Ltd.,Okeanos Food Co. Ltd.,12.51638889,102.0541667,8/26/17,TBD,69.93,,,NSF International,Bunpop Jantaro,5,1,0,,,,,
F10697,Hainan Biyue Agriculture Development Co. Ltd.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,China,Hainan Qinfu Foods Co. Ltd.,Hainan Qinfu Foods Co. Ltd.,19.70615246,110.4681838,8/10/17,TBD,"9,545",,,NSF International,Yaddo Chen,5,1,0,,,,,
F10698B,I'm Shrimp Farm 3,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Andaman Seafood Co. Ltd.,Andaman Seafood Co. Ltd.,8.966194444,98.40055556,6/16/17,TBD,2.85,,,NSF International,Bunpop Jantaro,8,1,0,,,,,
F10698C,I'm Shrimp Farm 4,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Andaman Seafood Co. Ltd.,Andaman Seafood Co. Ltd.,8.97,98.40027778,6/16/17,TBD,43.81,,,NSF International,Bunpop Jantaro,8,1,0,,,,,
F10698D,AMS Cluster 2 - We're Shrimp Farm (Kanchanadit),Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,AMS Cluster 2 - We're Shrimp Farm (Kanchanadit),AMS Cluster 2 - We're Shrimp Farm (Kanchanadit),9.202222222,99.495,6/26/19,,,,,,,,,,,,,,
F10698E,AMS Cluster 2 - We're Shrimp Farm (Chaiya),Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,AMS Cluster 2 - We're Shrimp Farm (Chaiya),AMS Cluster 2 - We're Shrimp Farm (Chaiya),9.369361111,99.22194444,6/26/19,,,,,,,,,,,,,,
F10698F,AMS Cluster 2 - Sinsab Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,AMS Cluster 2 - Sinsab Farm,AMS Cluster 2 - Sinsab Farm,9.086722222,98.41344444,6/26/19,,,,,,,,,,,,,,
F10698G,AMS Cluster 2 - I'm Shrimp Farm 6,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,AMS Cluster 2 - I'm Shrimp Farm 6,AMS Cluster 2 - I'm Shrimp Farm 6,8.196111111,98.37027778,6/26/19,,,,,,,,,,,,,,
F10699A,Wongwon Farm 1,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Good Luck Product Co. Ltd.,Good Luck Product Co. Ltd.,7.321519731,99.54703352,5/31/17,TBD,25,,,Acoura Marine,Don Griffiths,7,0,0,,,,,
F10699B,Nakluea Farm 1,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Good Luck Product Co. Ltd.,Good Luck Product Co. Ltd.,7.297722222,99.47697222,5/31/17,TBD,15,,,Acoura Marine,Don Griffiths,7,0,0,,,,,
F10699C,Bangsak Farm 1,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Good Luck Product Co. Ltd.,Good Luck Product Co. Ltd.,7.358777778,99.39422222,5/31/17,TBD,15,,,Acoura Marine,Don Griffiths,7,0,0,,,,,
F10699D,Batae Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Good Luck Product Co. Ltd.,Good Luck Product Co. Ltd.,7.388583333,99.57152778,5/31/17,TBD,8,,,Acoura Marine,Don Griffiths,5,0,0,,,,,
F10699E,Chainan Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Good Luck Product Co. Ltd.,Good Luck Product Co. Ltd.,7.394722222,99.57952778,5/31/17,TBD,15,,,Acoura Marine,Don Griffiths,5,0,0,,,,,
